idNhanh,parentId,productName,facebookID,productName,
5537644,-1,Bao da Baseus ip 6 dựng hở view nâu,885,Bao da iPhone 6 Baseus dựng hở view,Giang
5537646,-1,Bao da Baseus ip 6 dựng hở view tiệp,885,Bao da iPhone 6 Baseus dựng hở view,Giang
5537643,-1,Bao da Baseus ip 6 dựng hở view tím,885,Bao da iPhone 6 Baseus dựng hở view,Giang
5537641,-1,Bao da Baseus ip 6 dựng hở view xanh ngọc,885,Bao da iPhone 6 Baseus dựng hở view,Giang
5537350,-1,Bao da Baseus ip 6 plus bạc hà,948,Bao da iphone 6 Plus Baseus chính hãng,Giang
5537345,-1,Bao da Baseus ip 6 plus đen,948,Bao da iphone 6 Plus Baseus chính hãng,Giang
5537347,-1,Bao da Baseus ip 6 plus đỏ,948,Bao da iphone 6 Plus Baseus chính hãng,Giang
5537346,-1,Bao da Baseus ip 6 plus nâu,948,Bao da iphone 6 Plus Baseus chính hãng,Giang
5691845,-1,Bao da Baseus ip 6 plus SALE,948,Bao da iphone 6 Plus Baseus chính hãng,Giang
5537348,-1,Bao da Baseus ip 6 plus tiệp,948,Bao da iphone 6 Plus Baseus chính hãng,Giang
5537351,-1,Bao da Baseus ip 6 plus tím,948,Bao da iphone 6 Plus Baseus chính hãng,Giang
5537349,-1,Bao da Baseus ip 6 plus xanh,948,Bao da iphone 6 Plus Baseus chính hãng,Giang
5691840,-1,Bao da Baseus ip 6 SALE,885,Bao da iPhone 6 Baseus dựng hở view,Giang
5537582,-1,Bao da Baseus iPad mini 123 cam,0,Bao da Baseus iPad mini 123,Giang
5537581,-1,Bao da Baseus iPad mini 123 đen,0,Bao da Baseus iPad mini 123,Giang
5537585,-1,Bao da Baseus iPad mini 123 đỏ,0,Bao da Baseus iPad mini 123,Giang
5537584,-1,Bao da Baseus iPad mini 123 nâu,0,Bao da Baseus iPad mini 123,Giang
5537583,-1,Bao da Baseus iPad mini 123 tiệp,0,Bao da Baseus iPad mini 123,Giang
5537364,-1,Bao da baseuss note 5 đỏ,0,Bao da baseuss note 5,Giang
5537363,-1,Bao da baseuss note 5 nâu,0,Bao da baseuss note 5,Giang
5537365,-1,Bao da baseuss note 5 tiệp,0,Bao da baseuss note 5,Giang
5537366,-1,Bao da baseuss note 5 tím,0,Bao da baseuss note 5,Giang
5537370,-1,Bao da baseuss S6 Edge plus đỏ,1390,Bao da Galaxy S6 edge Baseus chính hãng,Giang
5537369,-1,Bao da baseuss S6 Edge plus nâu,1390,Bao da Galaxy S6 edge Baseus chính hãng,Giang
5537371,-1,Bao da baseuss S6 Edge plus tiệp,1390,Bao da Galaxy S6 edge Baseus chính hãng,Giang
5537372,-1,Bao da baseuss S6 Edge plus tím,1390,Bao da Galaxy S6 edge Baseus chính hãng,Giang
5534751,-1,Bao da cá sấu nổi vảy rồng ipad 432 đen,1575,Bao da cá sấu nổi vảy rồng ipad 4/3/2,Giang
5534752,-1,Bao da cá sấu nổi vảy rồng ipad 432 gold,1575,Bao da cá sấu nổi vảy rồng ipad 4/3/2,Giang
18218248,-2,Bao da cảm ứng Baseus chính hãng iPhone X/Xs,2896,Bao da cảm ứng Baseus chính hãng iPhone X-XS,Giang
5535755,-1,Bao da Case Me IP 7Plus - đỏ,0,Bao da Case Me IP 7Plus ,Giang
18492597,-2,Bao da đế mềm ipad 10.2/ 10.5 2019,3107,Bao da đế mềm iPad Pro 10.5 inch,Giang
11941590,-1,Bao da đế mềm iPad 432 Đen,0,Bao da đế mềm iPad 432,Giang
11941589,-1,Bao da đế mềm iPad 432 Nâu,0,Bao da đế mềm iPad 432,Giang
18492596,-2,Bao da đế mềm ipad mini 12345,218,Bao da ipad mini đế mềm,Giang
7375837,-1,Bao da đế mềm ipad MINI 4 đen,218,Bao da ipad mini đế mềm,Giang
7375838,-1,Bao da đế mềm ipad MINI 4 đỏ,218,Bao da ipad mini đế mềm,Giang
7375839,-1,Bao da đế mềm ipad MINI 4 tiệp,218,Bao da ipad mini đế mềm,Giang
17058189,-2,Bao da đế mềm iPad Mini 5,218,Bao da ipad mini đế mềm,Giang
7375834,-1,Bao da đế mềm iPad Pro 10.5 đen,3107,Bao da đế mềm iPad Pro 10.5 inch,Giang
7375835,-1,Bao da đế mềm iPad Pro 10.5 đỏ,3107,Bao da đế mềm iPad Pro 10.5 inch,Giang
7375836,-1,Bao da đế mềm iPad Pro 10.5 tiệp,3107,Bao da đế mềm iPad Pro 10.5 inch,Giang
10259231,-1,Bao da đế mềm iPad Pro 11 inch Đen,3539,Bao da đế mềm chống rơi iPad Pro 11 inch,Giang
10259233,-1,Bao da đế mềm iPad Pro 11 inch Đỏ,3539,Bao da đế mềm chống rơi iPad Pro 11 inch,Giang
10259232,-1,Bao da đế mềm iPad Pro 11 inch Xanh,3539,Bao da đế mềm chống rơi iPad Pro 11 inch,Giang
5537399,-1,bao da du lịch ipad 432,0,bao da du lịch ipad 432,Giang
15292393,-2,Bao da dựng đế mềm iphone 7,1697,Bao da dựng đế mềm iphone 7,Giang
18438781,-2,Bao da dux Ducis Domo IPad 10.2,3339,Bao da Dux Ducis Domo Series iPad,Giang
12281639,-2,Bao da Dux Ducis S10/E/P,3978,Bao da Dux Ducis Galaxy S10 Plus,Giang
5537408,-1,Bao da Dux Ducis S8 Plus Đen,2699,Bao da Dux Ducis S8,Giang
5534746,15292387,Bao da cá sấu iPad Air 2 đen,#N/A,Bao iPad Air 2,
5534747,15292387,Bao da cá sấu iPad Air 2 gold,#N/A,Bao iPad Air 2,
5534748,15292387,Bao da cá sấu iPad Air 2 hồng,#N/A,Bao iPad Air 2,
5534744,15292386,Bao da cá sấu iPad Air đen,#N/A,Bao iPad Air,
5534745,15292386,Bao da cá sấu iPad Air gold,#N/A,Bao iPad Air,
5537409,-1,Bao da Dux Ducis S8 Plus hồng,2699,Bao da Dux Ducis S8,Giang
5537411,-1,Bao da Dux Ducis S8 Plus tiệp,2699,Bao da Dux Ducis S8,Giang
5537410,-1,Bao da Dux Ducis S8 Plus vàng,2699,Bao da Dux Ducis S8,Giang
5537983,-1,Bao da rút iPhone SE 5-5s đen,619,Túi da rút cho iPhone 5-5s,Giang
5537985,-1,Bao da rút iPhone SE 5-5s đỏ,619,Túi da rút cho iPhone 5-5s,Giang
5537984,-1,Bao da rút iPhone SE 5-5s nâu,619,Túi da rút cho iPhone 5-5s,Giang
7086530,18218248,Bao da cảm ứng Baseus chính hãng iPhone X/Xs Đen,#N/A,Bao da cảm ứng Baseus chính hãng iPhone X/Xs,
